icc_2k,icc_3k,cronbach_alpha,cv,sd,range,mean,n_attempts,agent_id,section_id
0.9788519637462236,0.9316406250000001,0.9783950617283951,4.3231846178828635,0.16972502573910503,0.33333333333333304,3.925925925925926,3,0000,BES-A
0.9461856889414548,0.809224318658281,0.943125,8.560990488009482,0.275378527364305,0.5499999999999998,3.216666666666667,3,0000,BFI-10
0.9232544720138488,0.7532467532467533,0.916875,9.839893771151813,0.33291640592396965,0.6000000000000001,3.3833333333333333,3,0000,REI
0.9878048780487805,0.9608227228207641,0.9876543209876544,3.178074876273164,0.12830005981991663,0.22222222222222188,4.037037037037037,3,0001,BES-A
0.9900990099009901,0.9591836734693877,0.99,3.685214484189104,0.11547005383792526,0.20000000000000018,3.1333333333333333,3,0001,BFI-10
0.9632751354605659,0.8726513569937369,0.9618749999999999,6.472607300702723,0.22546248764114482,0.4500000000000002,3.483333333333333,3,0001,REI
0.9788519637462235,0.9284984678243104,0.9783950617283951,4.537203658372121,0.16972502573910525,0.3333333333333335,3.7407407407407405,3,0002,BES-A
0.9351256575102279,0.7730061349693251,0.9306249999999999,9.655178619520987,0.30413812651491107,0.5500000000000003,3.15,3,0002,BFI-10
0.9956440572495333,0.9836829836829837,0.995625,2.1718368222539515,0.0763762615825973,0.1499999999999999,3.516666666666667,3,0002,REI
0.9707865168539326,0.9076704545454544,0.9699074074074073,5.078241233047877,0.20030840419244406,0.3888888888888893,3.944444444444444,3,0003,BES-A
0.9501187648456058,0.8205128205128205,0.9475,8.267972847076845,0.264575131106459,0.5,3.1999999999999997,3,0003,BFI-10
0.9975062344139651,0.9909090909090909,0.9974999999999999,1.5890374381365862,0.05773502691896263,0.10000000000000009,3.6333333333333333,3,0003,REI
0.9635687732342008,0.8885350318471337,0.9621913580246914,5.5872606695770255,0.22452510468485454,0.44444444444444464,4.018518518518518,3,0004,BES-A
0.9981285090455396,0.9923664122137406,0.998125,1.538461538461533,0.04999999999999982,0.09999999999999964,3.25,3,0004,BFI-10
0.9956440572495333,0.9848156182212582,0.995625,2.0187558127558742,0.07637626158259725,0.1499999999999999,3.7833333333333337,3,0004,REI
0.9635687732342008,0.8912078152753109,0.9621913580246914,5.436930786090644,0.2245251046848544,0.4444444444444442,4.12962962962963,3,0005,BES-A
0.9956440572495333,0.9808219178082191,0.995625,2.5600981536066136,0.0763762615825973,0.1499999999999999,2.983333333333333,3,0005,BFI-10
0.9834050399508297,0.9387755102040816,0.9831249999999999,4.347826086956526,0.15000000000000013,0.30000000000000027,3.4499999999999997,3,0005,REI
