icc_2k,icc_3k,cronbach_alpha,cv,sd,range,mean,n_attempts,agent_id,question_id,section_id
1.0,1.0,1.0,0.0,0.0,0,5.0,7,0000,BES-A_1,BES-A
0.3835616438356164,0.07975460122699374,0.0,78.82269819968923,1.4638501094227998,4,1.8571428571428572,7,0000,BES-A_2,BES-A
0.8484848484848485,0.6644295302013423,0.8214285714285714,10.35045531915111,0.48795003647426655,1,4.714285714285714,7,0000,BES-A_3,BES-A
0.8484848484848485,0.6428571428571429,0.8214285714285714,11.38550085106622,0.48795003647426655,1,4.285714285714286,7,0000,BES-A_4,BES-A
0.8484848484848485,0.6644295302013423,0.8214285714285714,10.35045531915111,0.4879500364742666,1,4.714285714285714,7,0000,BES-A_5,BES-A
0.8235294117647058,0.607843137254902,0.7857142857142857,12.069862537980455,0.5345224838248488,1,4.428571428571429,7,0000,BES-A_6,BES-A
0.8235294117647058,0.607843137254902,0.7857142857142857,12.069862537980455,0.5345224838248488,1,4.428571428571429,7,0000,BES-A_7,BES-A
0.7,0.3650793650793651,0.5714285714285714,23.006533139692095,0.7559289460184545,2,3.2857142857142856,7,0000,BES-A_8,BES-A
0.4590163934426229,0.1472868217054264,0.0,46.184023091537476,1.2535663410560174,3,2.7142857142857144,7,0000,BES-A_9,BES-A
0.6222222222222222,0.2796610169491526,0.392857142857143,28.62794489044119,0.8997354108424372,3,3.142857142857143,7,0000,BFI-10_1,BFI-10
0.8484848484848485,0.5798319327731093,0.8214285714285714,14.850653283999419,0.48795003647426655,1,3.2857142857142856,7,0000,BFI-10_10,BFI-10
0.9032258064516129,0.7435897435897436,0.8928571428571428,9.123280382981347,0.37796447300922725,1,4.142857142857143,7,0000,BFI-10_2,BFI-10
0.35,0.06976744186046524,0.0,84.73185457363233,1.5735915849388864,4,1.8571428571428572,7,0000,BFI-10_3,BFI-10
0.9032258064516129,0.6875,0.8928571428571428,12.026142323020867,0.37796447300922725,1,3.142857142857143,7,0000,BFI-10_4,BFI-10
0.4590163934426229,0.12698412698412698,0.0,54.84352742120077,1.2535663410560174,3,2.2857142857142856,7,0000,BFI-10_5,BFI-10
0.8484848484848485,0.6428571428571429,0.8214285714285714,11.38550085106622,0.48795003647426655,1,4.285714285714286,7,0000,BFI-10_6,BFI-10
0.7,0.18367346938775508,0.5714285714285714,58.794473579213125,0.7559289460184545,2,1.2857142857142858,7,0000,BFI-10_7,BFI-10
0.9032258064516129,0.7727272727272727,0.8928571428571428,7.78162150313115,0.37796447300922725,1,4.857142857142857,7,0000,BFI-10_8,BFI-10
0.9032258064516129,0.6666666666666666,0.8928571428571428,13.228756555322954,0.37796447300922725,1,2.857142857142857,7,0000,BFI-10_9,BFI-10
1.0,1.0,1.0,0.0,0.0,0,3.0,7,0000,REI_1,REI
0.8484848484848485,0.6644295302013423,0.8214285714285714,10.35045531915111,0.48795003647426655,1,4.714285714285714,7,0000,REI_10,REI
0.8484848484848484,0.5798319327731092,0.8214285714285714,14.85065328399942,0.48795003647426666,1,3.2857142857142856,7,0000,REI_2,REI
0.6829268292682926,0.2934782608695652,0.5357142857142856,30.597614151589454,0.7867957924694432,2,2.5714285714285716,7,0000,REI_3,REI
1.0,1.0,1.0,0.0,0.0,0,3.0,7,0000,REI_4,REI
1.0,1.0,1.0,0.0,0.0,0,3.0,7,0000,REI_5,REI
1.0,1.0,1.0,0.0,0.0,0,3.0,7,0000,REI_6,REI
0.8235294117647058,0.5555555555555556,0.7857142857142858,14.966629547095762,0.5345224838248487,1,3.5714285714285716,7,0000,REI_7,REI
0.9032258064516129,0.7727272727272727,0.8928571428571428,7.78162150313115,0.37796447300922725,1,4.857142857142857,7,0000,REI_8,REI
0.9032258064516129,0.7297297297297297,0.8928571428571428,9.799078929868854,0.37796447300922725,1,3.857142857142857,7,0000,REI_9,REI
