icc_2k,icc_3k,cronbach_alpha,cv,sd,range,mean,n_attempts,agent_id,section_id
0.5714285714285714,0.7916666666666667,0.25,2.631578947368421,1.0,2.0,38.0,3,0000,BES-A
0.9461856889414547,0.8266666666666667,0.943125,7.614152830349452,0.2753785273643052,0.5,3.6166666666666667,3,0000,BFI-10
0.5517241379310345,0.7644927536231884,0.1874999999999999,2.9597146911840757,1.0408329997330665,2.0,35.166666666666664,3,0000,REI
0.7999999999999999,0.9180327868852459,0.75,1.5464739353293548,0.5773502691896258,1.0,37.333333333333336,3,0001,BES-A
0.9828009828009828,0.9416666666666668,0.9825,4.055376721199855,0.15275252316519458,0.2999999999999998,3.766666666666667,3,0001,BFI-10
0.6399999999999999,0.8369565217391304,0.4375,2.249416633206334,0.8660254037844386,1.5,38.5,3,0001,REI
0.7999999999999999,0.92,0.75,1.5061311370164152,0.5773502691896258,1.0,38.333333333333336,3,0002,BES-A
0.9834050399508297,0.9387755102040816,0.9831249999999999,4.347826086956526,0.15000000000000013,0.30000000000000027,3.4499999999999997,3,0002,BFI-10
0.17582417582417575,0.36868686868686873,0.0,6.8493150684931505,2.5,5.0,36.5,3,0002,REI
0.34042553191489355,0.5942408376963352,0.0,4.248304299996896,1.607275126832159,3.0,37.833333333333336,3,0003,BES-A
0.9685230024213075,0.896,0.9675,5.575891069998569,0.2081665999466132,0.3999999999999999,3.733333333333333,3,0003,BFI-10
0.7999999999999999,0.9159663865546218,0.75,1.5890374381365848,0.5773502691896258,1.0,36.333333333333336,3,0003,REI
0.20779220779220775,0.42669172932330834,0.0,5.959360906814397,2.254624876411447,4.5,37.833333333333336,3,0004,BES-A
0.9738283627510651,0.9120654396728016,0.973125,5.09319134152491,0.18929694486000911,0.3500000000000001,3.7166666666666663,3,0004,BFI-10
0.6956521739130435,0.8674242424242424,0.5625,2.001124757622638,0.7637626158259734,1.5,38.166666666666664,3,0004,REI
0.6399999999999999,0.8295454545454546,0.4375,2.3726723391354483,0.8660254037844386,1.5,36.5,3,0005,BES-A
0.9956440572495333,0.9841269841269841,0.995625,2.1117860345418666,0.0763762615825975,0.15000000000000036,3.6166666666666667,3,0005,BFI-10
0.34042553191489355,0.58994708994709,0.0,4.324507067709845,1.607275126832159,3.0,37.166666666666664,3,0005,REI
